,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Color
0,1,4.079339999999999,3.5,1.149,0.2,Iris-setosa,Bule
1,2,4.079339999999999,3.0,1.149,0.2,Iris-setosa,Bule
2,3,4.079339999999999,3.2,1.149,0.2,Iris-setosa,Bule
3,4,4.079339999999999,3.1,1.149,0.2,Iris-setosa,Bule
4,5,4.079339999999999,3.6,1.149,0.2,Iris-setosa,Bule
5,6,4.079339999999999,3.9,1.149,0.4,Iris-setosa,Bule
6,7,4.079339999999999,3.4,1.149,0.3,Iris-setosa,Bule
7,8,4.079339999999999,3.4,1.149,0.2,Iris-setosa,Bule
8,9,4.079339999999999,2.9,1.149,0.2,Iris-setosa,Bule
9,10,4.079339999999999,3.1,1.149,0.1,Iris-setosa,Bule
10,11,4.079339999999999,3.7,1.149,0.2,Iris-setosa,Bule
11,12,4.079339999999999,3.4,1.149,0.2,Iris-setosa,Bule
12,13,4.079339999999999,3.0,1.149,0.1,Iris-setosa,Bule
13,14,4.079339999999999,3.0,1.149,0.1,Iris-setosa,Bule
14,15,4.079339999999999,4.0,1.149,0.2,Iris-setosa,Bule
15,16,4.079339999999999,4.4,1.149,0.4,Iris-setosa,Bule
16,17,4.079339999999999,3.9,1.149,0.4,Iris-setosa,Bule
17,18,4.079339999999999,3.5,1.149,0.3,Iris-setosa,Bule
18,19,4.079339999999999,3.8,1.149,0.3,Iris-setosa,Bule
19,20,4.079339999999999,3.8,1.149,0.3,Iris-setosa,Bule
20,21,4.079339999999999,3.4,1.149,0.2,Iris-setosa,Bule
21,22,4.079339999999999,3.7,1.149,0.4,Iris-setosa,Bule
22,23,4.079339999999999,3.6,1.149,0.2,Iris-setosa,Bule
23,24,4.079339999999999,3.3,1.149,0.5,Iris-setosa,Bule
24,25,4.079339999999999,3.4,1.149,0.2,Iris-setosa,Bule
25,26,4.079339999999999,3.0,1.149,0.2,Iris-setosa,Bule
26,27,4.079339999999999,3.4,1.149,0.4,Iris-setosa,Bule
27,28,4.079339999999999,3.5,1.149,0.2,Iris-setosa,Bule
28,29,4.079339999999999,3.4,1.149,0.2,Iris-setosa,Bule
29,30,4.079339999999999,3.2,1.149,0.2,Iris-setosa,Bule
30,31,4.079339999999999,3.1,1.149,0.2,Iris-setosa,Bule
31,32,4.079339999999999,3.4,1.149,0.4,Iris-setosa,Bule
32,33,4.079339999999999,4.1,1.149,0.1,Iris-setosa,Bule
33,34,4.079339999999999,4.2,1.149,0.2,Iris-setosa,Bule
34,35,4.079339999999999,3.1,1.149,0.1,Iris-setosa,Bule
35,36,4.079339999999999,3.2,1.149,0.2,Iris-setosa,Bule
36,37,4.079339999999999,3.5,1.149,0.2,Iris-setosa,Bule
37,38,4.079339999999999,3.1,1.149,0.1,Iris-setosa,Bule
38,39,4.079339999999999,3.0,1.149,0.2,Iris-setosa,Bule
39,40,4.079339999999999,3.4,1.149,0.2,Iris-setosa,Bule
40,41,4.079339999999999,3.5,1.149,0.3,Iris-setosa,Bule
41,42,4.079339999999999,2.3,1.149,0.3,Iris-setosa,Bule
42,43,4.079339999999999,3.2,1.149,0.2,Iris-setosa,Bule
43,44,4.079339999999999,3.5,1.149,0.6,Iris-setosa,Bule
